
"Banco de México"

"Tipos de cambio y resultados históricos de las subastas"
"Serie histórica diaria del tipo de cambio peso-dólar"

"Fecha de consulta: 26/04/2026 03:13:48"

""

"Título","Serie histórica del tipo de cambio, Tipo de cambio peso dólar desde 1954"
"Periodo disponible","19/04/1954 - 24/04/2026"
"Periodicidad","Diaria"
"Cifra","Tipo de Cambio"
"Unidad","Pesos por Dólar"
"Base",""
"Aviso",""
"Tipo de información","Niveles"
"Fecha","SF63528"
03/01/2022,20.58900
04/01/2022,20.47420
05/01/2022,20.39770
06/01/2022,20.45880
07/01/2022,20.42370
10/01/2022,20.44530
11/01/2022,20.37850
12/01/2022,20.36600
13/01/2022,20.36070
14/01/2022,20.31180
17/01/2022,20.30020
18/01/2022,20.40300
19/01/2022,20.46000
20/01/2022,20.45070
21/01/2022,20.45980
24/01/2022,20.63080
25/01/2022,20.66830
26/01/2022,20.64150
27/01/2022,20.73830
28/01/2022,20.85970
31/01/2022,20.63520
01/02/2022,20.58000
02/02/2022,20.60030
03/02/2022,20.55620
04/02/2022,20.73250
08/02/2022,20.64130
09/02/2022,20.50080
10/02/2022,20.41480
11/02/2022,20.41880
14/02/2022,20.41100
15/02/2022,20.39920
16/02/2022,20.33350
17/02/2022,20.29780
18/02/2022,20.30630
21/02/2022,20.28250
22/02/2022,20.29770
23/02/2022,20.24350
24/02/2022,20.65250
25/02/2022,20.44650
28/02/2022,20.42570
01/03/2022,20.52720
02/03/2022,20.71930
03/03/2022,20.70330
04/03/2022,20.92620
07/03/2022,21.19470
08/03/2022,21.37750
09/03/2022,20.96770
10/03/2022,20.97430
11/03/2022,20.96950
14/03/2022,20.89080
15/03/2022,20.87430
16/03/2022,20.70350
17/03/2022,20.55850
18/03/2022,20.41450
22/03/2022,20.27820
23/03/2022,20.18000
24/03/2022,20.13130
25/03/2022,19.95770
28/03/2022,20.11950
29/03/2022,19.99420
30/03/2022,19.86320
31/03/2022,19.91120
01/04/2022,19.84320
04/04/2022,19.74430
05/04/2022,19.90120
06/04/2022,20.06650
07/04/2022,20.16050
08/04/2022,20.12000
11/04/2022,20.00930
12/04/2022,19.84070
13/04/2022,19.79670
18/04/2022,19.93770
19/04/2022,20.04470
20/04/2022,20.03830
21/04/2022,20.18020
22/04/2022,20.31830
25/04/2022,20.29920
26/04/2022,20.35600
27/04/2022,20.47070
28/04/2022,20.56700
29/04/2022,20.37280
02/05/2022,20.40750
03/05/2022,20.33500
04/05/2022,20.25350
05/05/2022,20.22180
06/05/2022,20.10850
09/05/2022,20.31720
10/05/2022,20.37200
11/05/2022,20.25920
12/05/2022,20.32000
13/05/2022,20.14430
16/05/2022,20.07820
17/05/2022,19.96370
18/05/2022,19.96630
19/05/2022,19.92670
20/05/2022,19.86570
23/05/2022,19.82820
24/05/2022,19.88700
25/05/2022,19.83770
26/05/2022,19.79330
27/05/2022,19.59650
30/05/2022,19.49530
31/05/2022,19.69400
01/06/2022,19.73880
02/06/2022,19.55850
03/06/2022,19.57420
06/06/2022,19.55470
07/06/2022,19.59980
08/06/2022,19.59000
09/06/2022,19.61280
10/06/2022,19.92970
13/06/2022,20.45270
14/06/2022,20.65830
15/06/2022,20.66750
16/06/2022,20.57280
17/06/2022,20.47600
20/06/2022,20.24420
21/06/2022,20.19630
22/06/2022,20.04650
23/06/2022,20.03650
24/06/2022,19.87070
27/06/2022,19.87970
28/06/2022,19.98470
29/06/2022,20.14430
30/06/2022,20.13350
01/07/2022,20.38170
04/07/2022,20.28770
05/07/2022,20.55980
06/07/2022,20.72280
07/07/2022,20.60220
08/07/2022,20.44230
11/07/2022,20.74730
12/07/2022,20.78820
13/07/2022,20.76130
14/07/2022,20.94150
15/07/2022,20.61100
18/07/2022,20.39570
19/07/2022,20.44070
20/07/2022,20.49130
21/07/2022,20.65620
22/07/2022,20.51500
25/07/2022,20.46520
26/07/2022,20.43300
27/07/2022,20.51200
28/07/2022,20.37780
29/07/2022,20.34850
01/08/2022,20.26330
02/08/2022,20.51520
03/08/2022,20.63050
04/08/2022,20.33580
05/08/2022,20.40100
08/08/2022,20.27890
09/08/2022,20.27150
10/08/2022,19.95620
11/08/2022,19.95950
12/08/2022,19.87400
15/08/2022,19.86180
16/08/2022,19.93030
17/08/2022,20.03870
18/08/2022,20.08350
19/08/2022,20.19570
22/08/2022,20.15980
23/08/2022,19.99820
24/08/2022,19.91980
25/08/2022,19.94370
26/08/2022,19.92680
29/08/2022,19.99450
30/08/2022,20.14650
31/08/2022,20.09620
01/09/2022,20.24730
02/09/2022,19.97530
05/09/2022,19.96200
06/09/2022,20.13800
07/09/2022,20.02970
08/09/2022,20.02030
09/09/2022,19.90270
12/09/2022,19.79570
13/09/2022,20.05500
14/09/2022,19.97680
15/09/2022,20.05250
19/09/2022,19.99430
20/09/2022,20.00000
21/09/2022,20.00270
22/09/2022,19.96080
23/09/2022,20.16270
26/09/2022,20.35170
27/09/2022,20.35700
28/09/2022,20.30580
29/09/2022,20.19270
30/09/2022,20.09250
03/10/2022,20.00080
04/10/2022,19.96980
05/10/2022,20.12670
06/10/2022,20.10870
07/10/2022,20.05020
10/10/2022,19.97520
11/10/2022,19.96520
12/10/2022,20.03520
13/10/2022,20.03980
14/10/2022,20.08380
17/10/2022,19.99130
18/10/2022,20.02070
19/10/2022,20.12720
20/10/2022,20.04480
21/10/2022,19.96470
24/10/2022,19.95350
25/10/2022,19.87120
26/10/2022,19.85530
27/10/2022,19.83650
28/10/2022,19.83030
31/10/2022,19.82450
01/11/2022,19.74630
03/11/2022,19.66730
04/11/2022,19.52020
07/11/2022,19.46470
08/11/2022,19.47750
09/11/2022,19.58870
10/11/2022,19.39400
11/11/2022,19.53530
14/11/2022,19.40150
15/11/2022,19.38180
16/11/2022,19.31370
17/11/2022,19.43330
18/11/2022,19.49300
22/11/2022,19.46670
23/11/2022,19.36830
24/11/2022,19.36920
25/11/2022,19.33930
28/11/2022,19.32500
29/11/2022,19.21600
30/11/2022,19.39650
01/12/2022,19.14330
02/12/2022,19.34220
05/12/2022,19.75670
06/12/2022,19.80300
07/12/2022,19.69770
08/12/2022,19.67320
09/12/2022,19.81920
13/12/2022,19.64580
14/12/2022,19.69550
15/12/2022,19.79630
16/12/2022,19.79320
19/12/2022,19.75570
20/12/2022,19.74820
21/12/2022,19.69320
22/12/2022,19.57400
23/12/2022,19.42870
26/12/2022,19.39830
27/12/2022,19.44070
28/12/2022,19.41430
29/12/2022,19.36150
30/12/2022,19.47150
02/01/2023,19.48830
03/01/2023,19.42200
04/01/2023,19.35680
05/01/2023,19.36720
06/01/2023,19.17530
09/01/2023,19.16480
10/01/2023,19.11080
11/01/2023,19.02600
12/01/2023,18.87350
13/01/2023,18.79220
16/01/2023,18.79130
17/01/2023,18.74930
18/01/2023,18.74930
19/01/2023,19.03270
20/01/2023,18.92570
23/01/2023,18.82670
24/01/2023,18.83180
25/01/2023,18.82000
26/01/2023,18.83550
27/01/2023,18.78720
30/01/2023,18.77930
31/01/2023,18.79370
01/02/2023,18.73900
02/02/2023,18.62320
03/02/2023,18.88950
07/02/2023,19.05170
08/02/2023,18.94350
09/02/2023,18.95430
10/02/2023,18.68930
13/02/2023,18.63270
14/02/2023,18.53830
15/02/2023,18.64280
16/02/2023,18.54970
17/02/2023,18.41420
20/02/2023,18.39700
21/02/2023,18.39380
22/02/2023,18.34830
23/02/2023,18.41070
24/02/2023,18.40230
27/02/2023,18.40770
28/02/2023,18.34480
01/03/2023,18.17000
02/03/2023,18.12600
03/03/2023,18.01230
06/03/2023,18.01220
07/03/2023,18.11550
08/03/2023,17.96620
09/03/2023,18.05770
10/03/2023,18.40830
13/03/2023,18.83020
14/03/2023,18.64270
15/03/2023,18.99720
16/03/2023,18.90950
17/03/2023,18.89770
21/03/2023,18.67550
22/03/2023,18.54370
23/03/2023,18.49020
24/03/2023,18.51780
27/03/2023,18.38300
28/03/2023,18.25230
29/03/2023,18.10520
30/03/2023,18.09320
31/03/2023,18.04150
03/04/2023,18.10700
04/04/2023,18.11850
05/04/2023,18.33230
10/04/2023,18.17650
11/04/2023,18.18700
12/04/2023,18.06600
13/04/2023,18.01520
14/04/2023,18.06380
